cuisine,order_size_items,prep_time_estimate_min,distance_km,driver_experience_m,courier_type,weather,wind_mps,traffic_level,hour_of_day,day_of_week,restaurant_load,delivery_time_min
mexican,4,11.8,1.9,10,ebike,clear,7.6,medium,6,Thu,0.28,34.6
fried_chicken,4,11.5,2.4,0,bike,clear,0.0,medium,6,Thu,0.14,33.8
pizza,3,11.7,4.6,3,bike,rain,5.3,low,6,Thu,0.14,45.7
fried_chicken,4,11.5,2.3,3,ebike,clear,4.3,medium,7,Thu,0.28,33.8
sushi,3,14.1,3.0,21,ebike,clear,4.3,low,7,Thu,0.14,40.5
sushi,1,13.2,1.6,3,ebike,clear,3.8,medium,8,Thu,0.14,33.8
mexican,3,11.6,3.5,6,ebike,clear,8.8,medium,8,Thu,0.14,38.2
salad,1,6.4,2.2,4,bike,clear,1.9,low,8,Thu,0.14,28.9
noodles,4,10.3,3.5,9,ebike,rain,2.1,medium,8,Thu,0.28,36.8
noodles,3,10.1,8.7,2,ebike,clear,7.0,medium,8,Thu,0.42,54.8
burger,3,8.4,4.9,1,bike,clear,7.2,medium,9,Thu,0.14,40.7
indian,5,15.9,5.1,15,bike,rain,7.7,high,9,Thu,0.14,64.3
fried_chicken,4,11.5,1.6,4,ebike,clear,7.8,low,10,Thu,0.28,28.8
fried_chicken,4,11.5,2.0,3,bike,rain,7.9,low,10,Thu,0.14,36.7
noodles,3,10.1,2.2,4,ebike,storm,12.3,medium,10,Thu,0.28,37.4
noodles,2,9.8,3.2,1,ebike,clear,7.4,medium,10,Thu,0.28,29.1
fried_chicken,6,11.9,4.1,15,bike,storm,15.0,low,10,Thu,0.42,51.0
pizza,5,12.2,8.5,3,bike,clear,3.0,medium,11,Thu,0.14,60.0
burger,3,8.4,2.8,0,ebike,storm,11.3,medium,11,Thu,0.14,28.5
fried_chicken,5,11.7,1.0,6,ebike,clear,7.8,low,11,Thu,0.28,28.0
noodles,4,10.3,7.3,0,ebike,rain,3.9,medium,12,Thu,0.28,47.1
noodles,3,10.1,3.0,5,ebike,clear,4.5,medium,12,Thu,0.14,36.2
noodles,2,9.8,6.6,1,ebike,storm,13.1,low,12,Thu,0.42,51.3
sushi,2,13.7,7.7,5,ebike,clear,7.4,medium,12,Thu,0.56,56.4
sushi,2,13.7,1.4,4,ebike,clear,6.3,medium,12,Thu,0.28,34.6
sushi,2,13.7,6.1,6,ebike,rain,7.8,low,12,Thu,0.42,50.8
pizza,3,11.7,6.3,2,ebike,clear,5.7,low,12,Thu,0.42,47.9
pizza,3,11.7,1.3,2,bike,rain,7.8,low,12,Thu,0.14,32.3
indian,1,14.3,2.2,2,ebike,clear,6.0,low,12,Thu,0.28,37.4
sushi,3,14.1,4.9,1,ebike,clear,6.7,high,13,Thu,0.42,44.0
mexican,2,11.3,2.0,5,bike,rain,9.8,medium,13,Thu,0.56,36.6
pizza,2,11.4,1.9,6,ebike,storm,12.6,low,13,Thu,0.69,36.7
burger,3,8.4,3.8,22,ebike,clear,5.7,medium,13,Thu,0.56,28.3
mexican,4,11.8,4.3,1,bike,clear,7.6,medium,13,Thu,0.14,46.7
noodles,5,10.5,3.1,4,bike,clear,6.7,high,13,Thu,0.28,39.7
salad,1,6.4,3.1,5,ebike,clear,6.0,medium,13,Thu,0.42,28.9
sushi,2,13.7,4.0,7,ebike,rain,7.2,high,13,Thu,0.14,52.2
indian,3,15.3,3.4,21,bike,clear,9.6,medium,13,Thu,0.28,48.9
fried_chicken,3,11.2,3.7,7,bike,rain,2.8,medium,13,Thu,0.14,38.5
fried_chicken,6,11.9,2.1,0,bike,clear,7.4,low,13,Thu,0.28,36.7
salad,3,6.8,0.7,1,ebike,clear,8.2,high,14,Thu,0.28,22.1
noodles,5,10.5,4.2,5,ebike,clear,7.7,low,14,Thu,0.14,40.0
sushi,2,13.7,4.4,0,ebike,clear,7.4,low,14,Thu,0.28,39.4
burger,6,9.0,3.7,5,bike,clear,8.2,medium,14,Thu,0.28,36.4
salad,4,7.0,2.3,10,bike,clear,4.7,low,14,Thu,0.42,26.2
pizza,4,12.0,2.5,3,bike,clear,6.1,low,14,Thu,0.28,34.1
noodles,3,10.1,2.8,3,bike,rain,8.9,high,15,Thu,0.28,40.6
indian,4,15.6,2.0,5,ebike,clear,5.5,low,15,Thu,0.14,40.6
noodles,3,10.1,4.2,5,ebike,clear,5.0,medium,15,Thu,0.42,39.9
noodles,4,10.3,1.3,0,ebike,clear,6.4,high,15,Thu,0.28,32.6
noodles,2,9.8,2.6,4,bike,clear,7.9,medium,15,Thu,0.28,35.6
mexican,5,12.0,4.1,3,bike,clear,7.6,medium,15,Thu,0.42,44.4
pizza,3,11.7,1.8,17,ebike,clear,8.2,medium,15,Thu,0.28,32.2
burger,5,8.8,6.3,2,ebike,clear,9.3,medium,15,Thu,0.42,45.1
pizza,4,12.0,4.7,4,ebike,clear,4.2,high,15,Thu,0.28,54.4
mexican,2,11.3,2.7,9,ebike,clear,2.9,medium,15,Thu,0.14,30.8
indian,4,15.6,2.4,5,ebike,clear,8.2,high,16,Thu,0.14,47.0
pizza,5,12.2,9.5,18,bike,clear,8.0,medium,16,Thu,0.28,67.2
sushi,3,14.1,7.3,2,ebike,clear,8.2,low,16,Thu,0.42,55.1
mexican,3,11.6,6.1,3,bike,clear,8.0,medium,16,Thu,0.14,53.7
fried_chicken,3,11.2,0.8,1,ebike,rain,8.2,high,16,Thu,0.28,32.9
mexican,5,12.0,3.1,6,ebike,clear,5.1,medium,16,Thu,0.42,37.1
mexican,6,12.2,2.7,11,ebike,rain,4.2,medium,17,Thu,0.14,38.0
mexican,6,12.2,2.1,3,ebike,rain,8.6,medium,17,Thu,0.28,38.6
pizza,3,11.7,2.0,9,ebike,clear,6.3,low,17,Thu,0.42,33.4
pizza,2,11.4,4.8,2,ebike,clear,7.6,low,18,Thu,0.14,37.6
noodles,4,10.3,2.8,12,ebike,rain,9.3,medium,18,Thu,0.28,33.0
mexican,1,10.9,1.1,3,bike,clear,7.9,low,18,Thu,0.42,28.7
noodles,3,10.1,2.4,3,bike,rain,3.8,medium,18,Thu,0.28,36.0
salad,3,6.8,3.1,5,bike,rain,5.7,high,18,Thu,0.69,31.3
pizza,4,12.0,1.6,7,ebike,clear,6.1,medium,18,Thu,0.56,29.0
sushi,1,13.2,3.7,4,ebike,rain,6.2,medium,18,Thu,0.42,44.0
mexican,5,12.0,2.1,1,ebike,rain,6.0,medium,18,Thu,0.14,32.2
burger,2,8.1,9.2,10,ebike,clear,5.2,low,19,Thu,0.14,49.1
burger,4,8.6,2.8,8,bike,rain,4.2,low,19,Thu,0.28,31.0
pizza,5,12.2,1.8,7,ebike,clear,5.9,medium,20,Thu,0.14,30.6
noodles,4,10.3,2.9,15,ebike,clear,2.5,low,20,Thu,0.14,31.2
indian,2,14.8,0.9,17,ebike,storm,9.2,medium,20,Thu,0.28,41.1
burger,2,8.1,2.8,1,bike,clear,5.4,low,20,Thu,0.28,34.5
mexican,4,11.8,2.1,2,ebike,clear,4.2,low,20,Thu,0.14,36.5
indian,5,15.9,4.5,5,ebike,rain,3.4,high,21,Thu,0.14,54.1
pizza,4,12.0,5.6,0,ebike,clear,4.5,medium,21,Thu,0.28,47.5
sushi,2,13.7,3.8,7,bike,clear,3.3,medium,21,Thu,0.28,43.2
salad,2,6.6,2.3,7,ebike,clear,3.5,low,21,Thu,0.28,24.4
noodles,3,10.1,7.7,4,ebike,storm,10.2,medium,22,Thu,0.14,53.7
burger,6,9.0,1.4,3,ebike,rain,3.4,medium,22,Thu,0.28,22.7
noodles,3,10.1,3.4,3,ebike,rain,7.4,medium,22,Thu,0.28,38.0
pizza,5,12.2,3.4,4,ebike,rain,6.9,medium,22,Thu,0.14,37.2
burger,4,8.6,7.9,8,ebike,clear,5.3,low,22,Thu,0.42,41.2
noodles,4,10.3,2.5,7,ebike,clear,4.9,low,22,Thu,0.28,29.9
pizza,4,12.0,3.1,5,bike,clear,4.7,low,22,Thu,0.56,37.9
mexican,5,12.0,1.0,7,bike,clear,6.3,low,22,Thu,0.28,35.1
pizza,5,12.2,1.2,5,bike,clear,5.5,low,23,Thu,0.28,35.5
pizza,6,12.4,1.4,5,ebike,clear,6.6,medium,23,Thu,0.14,32.7
indian,5,15.9,4.5,14,ebike,clear,6.6,low,23,Thu,0.14,46.8
pizza,3,11.7,4.1,1,bike,clear,5.6,high,0,Fri,0.28,50.0
sushi,2,13.7,3.6,5,ebike,clear,2.6,medium,0,Fri,0.14,39.3
indian,5,15.9,3.8,11,ebike,clear,6.0,medium,0,Fri,0.28,48.0
sushi,1,13.2,3.7,9,bike,rain,1.2,low,1,Fri,0.14,40.2
indian,3,15.3,6.9,18,bike,rain,5.8,high,2,Fri,0.14,66.7
fried_chicken,5,11.7,7.2,7,bike,clear,3.4,medium,3,Fri,0.14,51.5
fried_chicken,4,11.5,2.8,1,bike,clear,6.6,low,4,Fri,0.14,37.9
mexican,5,12.0,1.6,3,ebike,clear,2.8,medium,5,Fri,0.14,35.9
pizza,5,12.2,2.9,8,ebike,clear,1.5,medium,5,Fri,0.42,37.1
indian,4,15.6,1.0,2,ebike,clear,3.7,medium,5,Fri,0.28,37.3
salad,2,6.6,2.7,6,ebike,rain,4.3,low,6,Fri,0.14,25.4
pizza,4,12.0,3.2,2,ebike,rain,3.8,low,6,Fri,0.14,34.8
sushi,1,13.2,1.6,0,bike,rain,4.1,medium,6,Fri,0.28,37.7
salad,1,6.4,6.7,8,bike,clear,6.2,medium,7,Fri,0.28,45.9
sushi,2,13.7,1.9,2,bike,clear,7.9,low,7,Fri,0.14,39.0
mexican,5,12.0,1.5,6,bike,rain,8.6,medium,7,Fri,0.14,31.9
noodles,5,10.5,5.0,7,bike,rain,2.4,medium,7,Fri,0.28,49.1
burger,4,8.6,3.1,3,ebike,clear,5.5,medium,7,Fri,0.42,29.7
mexican,1,10.9,1.9,5,ebike,rain,3.7,medium,7,Fri,0.14,33.9
burger,4,8.6,3.1,6,ebike,clear,7.4,high,8,Fri,0.28,27.5
mexican,4,11.8,3.4,6,ebike,rain,3.8,medium,8,Fri,0.42,39.3
fried_chicken,2,10.9,2.9,8,bike,clear,5.1,high,8,Fri,0.14,40.0
fried_chicken,4,11.5,4.7,1,bike,clear,3.7,high,8,Fri,0.28,46.2
noodles,3,10.1,2.8,7,bike,clear,7.6,medium,8,Fri,0.42,38.6
burger,3,8.4,1.3,12,ebike,clear,4.5,low,8,Fri,0.56,22.1
mexican,3,11.6,5.9,2,ebike,clear,5.6,medium,8,Fri,0.56,48.1
fried_chicken,5,11.7,3.7,5,ebike,clear,4.8,medium,8,Fri,0.56,37.5
indian,3,15.3,4.1,1,ebike,storm,10.9,low,8,Fri,0.42,51.3
pizza,5,12.2,4.2,9,ebike,clear,4.9,medium,8,Fri,0.28,38.8
salad,2,6.6,2.0,8,ebike,clear,5.3,medium,9,Fri,0.28,26.8
noodles,4,10.3,3.6,6,bike,rain,6.7,medium,9,Fri,0.14,39.9
burger,2,8.1,1.5,3,ebike,rain,4.5,medium,9,Fri,0.28,22.5
pizza,4,12.0,7.4,6,ebike,storm,14.2,low,9,Fri,0.28,55.2
burger,3,8.4,6.5,1,bike,clear,7.0,medium,9,Fri,0.56,51.0
pizza,4,12.0,4.8,1,ebike,storm,7.8,medium,9,Fri,0.42,51.4
sushi,2,13.7,3.6,4,ebike,clear,12.1,medium,9,Fri,0.69,47.1
salad,2,6.6,5.0,15,bike,clear,4.2,low,10,Fri,0.14,33.2
pizza,6,12.4,2.0,8,ebike,rain,9.5,high,10,Fri,0.14,39.0
pizza,3,11.7,1.5,1,ebike,rain,5.6,low,10,Fri,0.28,29.2
fried_chicken,5,11.7,2.4,0,bike,rain,7.0,high,10,Fri,0.42,44.9
fried_chicken,4,11.5,3.2,2,bike,clear,8.5,low,10,Fri,0.56,43.2
burger,3,8.4,5.5,0,ebike,clear,8.7,low,10,Fri,0.28,36.4
pizza,4,12.0,2.4,1,ebike,rain,5.6,low,10,Fri,0.28,43.9
mexican,3,11.6,3.6,6,ebike,clear,4.9,medium,10,Fri,0.42,39.5
burger,3,8.4,0.9,9,bike,rain,4.9,high,11,Fri,0.14,24.9
fried_chicken,5,11.7,2.6,5,ebike,rain,3.9,medium,11,Fri,0.42,33.4
sushi,3,14.1,1.5,3,ebike,clear,7.0,medium,11,Fri,0.28,34.7
sushi,1,13.2,3.7,1,ebike,clear,4.8,medium,11,Fri,0.56,44.0
sushi,3,14.1,2.7,6,ebike,clear,6.7,low,11,Fri,0.69,39.8
fried_chicken,5,11.7,3.7,2,ebike,rain,9.8,medium,11,Fri,0.42,44.3
noodles,5,10.5,1.3,3,bike,clear,7.7,low,11,Fri,0.14,27.1
burger,5,8.8,2.7,15,bike,clear,5.3,low,11,Fri,0.28,32.4
burger,2,8.1,1.7,2,ebike,clear,5.5,low,11,Fri,0.42,23.4
indian,4,15.6,2.4,19,bike,clear,7.9,medium,11,Fri,0.42,47.0
noodles,3,10.1,0.7,9,ebike,clear,8.6,medium,11,Fri,0.56,19.5
sushi,4,14.4,2.6,3,bike,rain,7.3,medium,11,Fri,0.42,42.9
fried_chicken,5,11.7,4.2,2,bike,clear,7.3,medium,12,Fri,0.14,44.7
fried_chicken,3,11.2,2.4,2,bike,clear,9.2,low,12,Fri,0.28,30.8
burger,2,8.1,3.2,3,bike,clear,6.7,medium,12,Fri,0.42,40.6
burger,3,8.4,4.2,9,ebike,clear,7.5,medium,12,Fri,0.69,36.0
sushi,2,13.7,4.1,7,ebike,rain,9.0,low,12,Fri,0.56,43.3
salad,1,6.4,5.4,4,ebike,clear,4.9,high,12,Fri,0.42,33.8
pizza,4,12.0,5.3,0,ebike,clear,4.9,high,12,Fri,0.42,46.5
mexican,2,11.3,4.0,8,ebike,clear,5.1,medium,12,Fri,0.56,39.8
indian,4,15.6,3.5,2,bike,clear,4.7,medium,12,Fri,0.28,45.8
salad,4,7.0,2.3,5,ebike,rain,7.0,medium,12,Fri,0.14,19.6
indian,3,15.3,1.6,2,ebike,clear,5.8,high,12,Fri,0.28,44.0
sushi,2,13.7,7.1,8,ebike,clear,3.5,low,13,Fri,0.14,50.9
mexican,3,11.6,4.5,3,ebike,rain,3.4,medium,13,Fri,0.28,45.8
pizza,5,12.2,3.0,2,bike,clear,5.1,medium,13,Fri,0.56,40.4
sushi,4,14.4,5.6,9,ebike,rain,6.6,low,13,Fri,0.69,52.5
indian,4,15.6,4.7,6,bike,rain,6.5,high,13,Fri,0.42,61.6
fried_chicken,4,11.5,3.7,6,ebike,clear,8.5,low,13,Fri,0.83,46.4
indian,4,15.6,3.2,3,bike,storm,8.9,high,13,Fri,0.83,60.1
noodles,3,10.1,5.2,7,ebike,clear,6.0,medium,13,Fri,0.83,44.0
noodles,4,10.3,4.4,9,ebike,clear,7.2,medium,13,Fri,0.86,49.3
burger,3,8.4,6.6,12,ebike,rain,7.4,medium,13,Fri,0.86,53.9
indian,6,16.2,4.3,2,bike,clear,8.1,medium,13,Fri,0.83,69.2
burger,5,8.8,3.3,7,bike,clear,5.4,medium,13,Fri,0.83,40.0
pizza,2,11.4,2.7,4,bike,clear,4.2,medium,13,Fri,0.83,47.7
salad,3,6.8,3.4,11,bike,clear,8.0,low,14,Fri,0.69,31.6
indian,5,15.9,4.2,5,ebike,clear,5.1,medium,14,Fri,0.83,55.5
pizza,6,12.4,2.4,6,ebike,rain,6.3,low,14,Fri,0.28,35.5
noodles,5,10.5,3.4,4,ebike,clear,9.4,high,14,Fri,0.42,31.3
sushi,1,13.2,2.0,3,ebike,rain,6.3,low,14,Fri,0.14,36.8
salad,2,6.6,1.5,3,ebike,clear,5.2,high,14,Fri,0.69,22.1
mexican,2,11.3,3.1,1,ebike,rain,9.4,high,14,Fri,0.56,43.5
salad,3,6.8,4.1,1,ebike,clear,6.7,medium,14,Fri,0.28,32.7
sushi,3,14.1,1.1,0,bike,clear,3.8,low,14,Fri,0.28,33.3
sushi,5,14.7,4.6,2,bike,rain,8.0,medium,14,Fri,0.28,55.1
noodles,3,10.1,2.6,3,ebike,clear,6.3,low,14,Fri,0.42,36.6
burger,4,8.6,2.7,0,ebike,rain,7.8,medium,15,Fri,0.14,35.2
sushi,2,13.7,2.3,0,bike,rain,8.8,medium,15,Fri,0.28,42.3
fried_chicken,2,10.9,2.6,3,ebike,clear,7.3,medium,15,Fri,0.28,37.8
mexican,3,11.6,1.2,9,bike,rain,9.8,medium,15,Fri,0.42,34.6
fried_chicken,6,11.9,4.3,10,bike,clear,2.6,medium,15,Fri,0.56,42.8
indian,1,14.3,3.7,6,ebike,storm,9.7,low,15,Fri,0.42,48.6
mexican,4,11.8,1.7,4,ebike,clear,8.9,medium,16,Fri,0.28,36.4
pizza,4,12.0,6.0,6,bike,rain,9.6,low,16,Fri,0.28,50.4
burger,5,8.8,3.4,4,ebike,clear,6.5,medium,16,Fri,0.28,30.1
mexican,3,11.6,8.3,4,ebike,clear,1.9,medium,16,Fri,0.14,54.7
burger,5,8.8,5.8,4,ebike,clear,2.4,high,16,Fri,0.56,42.0
fried_chicken,3,11.2,4.5,6,ebike,rain,7.6,medium,16,Fri,0.28,41.6
fried_chicken,3,11.2,1.7,3,ebike,clear,8.8,low,16,Fri,0.42,35.7
fried_chicken,5,11.7,4.9,3,bike,clear,4.0,medium,16,Fri,0.69,45.5
salad,1,6.4,5.7,20,ebike,rain,5.3,medium,17,Fri,0.28,37.1
pizza,5,12.2,9.0,4,ebike,storm,9.3,medium,17,Fri,0.14,65.8
indian,4,15.6,1.2,6,ebike,rain,4.3,medium,17,Fri,0.42,40.2
noodles,2,9.8,1.8,6,ebike,clear,9.0,medium,17,Fri,0.28,32.6
fried_chicken,5,11.7,1.7,6,ebike,storm,12.2,high,17,Fri,0.14,33.3
pizza,5,12.2,2.5,0,ebike,clear,8.1,low,17,Fri,0.28,35.1
burger,5,8.8,2.4,4,bike,clear,3.6,low,18,Fri,0.42,31.2
fried_chicken,3,11.2,6.1,6,bike,rain,5.0,low,18,Fri,0.28,51.4
salad,1,6.4,0.8,6,ebike,clear,7.7,medium,18,Fri,0.56,23.9
indian,6,16.2,4.1,3,ebike,clear,8.5,low,18,Fri,0.14,53.9
burger,4,8.6,9.7,3,ebike,clear,3.4,low,18,Fri,0.42,50.6
noodles,3,10.1,2.8,14,ebike,storm,10.1,medium,18,Fri,0.56,33.4
burger,2,8.1,5.2,6,bike,rain,9.6,medium,18,Fri,0.56,41.4
sushi,2,13.7,2.1,9,bike,clear,6.4,high,18,Fri,0.42,41.7
salad,1,6.4,2.4,6,ebike,rain,4.3,medium,18,Fri,0.69,25.2
pizza,4,12.0,1.6,2,ebike,clear,6.6,medium,18,Fri,0.69,41.0
pizza,5,12.2,2.3,1,bike,rain,6.2,high,18,Fri,0.69,39.2
pizza,5,12.2,1.4,5,bike,storm,12.7,medium,18,Fri,0.69,44.6
pizza,4,12.0,4.1,11,ebike,clear,6.7,low,18,Fri,0.83,51.7
sushi,1,13.2,4.5,3,bike,rain,4.8,medium,18,Fri,0.56,49.6
indian,5,15.9,2.8,2,bike,clear,6.9,medium,18,Fri,0.42,43.3
noodles,5,10.5,1.4,0,ebike,clear,6.3,medium,19,Fri,0.28,30.6
pizza,6,12.4,1.5,8,bike,clear,3.7,medium,19,Fri,0.28,36.7
burger,3,8.4,2.6,0,ebike,clear,3.9,low,19,Fri,0.42,35.5
sushi,1,13.2,1.7,7,bike,clear,9.2,medium,19,Fri,0.28,37.6
burger,2,8.1,4.1,5,ebike,clear,7.2,medium,19,Fri,0.28,29.2
indian,4,15.6,7.6,5,ebike,rain,5.8,medium,19,Fri,0.42,63.8
noodles,3,10.1,4.1,12,ebike,rain,8.5,medium,19,Fri,0.14,39.2
burger,4,8.6,2.0,10,ebike,storm,9.3,low,19,Fri,0.28,32.5
pizza,4,12.0,2.2,2,bike,clear,5.2,low,20,Fri,0.42,38.1
mexican,5,12.0,7.0,8,ebike,clear,3.9,medium,20,Fri,0.28,47.3
fried_chicken,4,11.5,4.1,9,ebike,clear,7.5,low,20,Fri,0.14,41.9
sushi,3,14.1,2.4,1,bike,rain,5.8,medium,20,Fri,0.42,43.3
indian,6,16.2,4.0,2,ebike,clear,7.3,medium,20,Fri,0.28,49.0
mexican,6,12.2,1.5,2,ebike,clear,6.0,high,20,Fri,0.42,30.9
mexican,5,12.0,5.9,4,ebike,clear,7.1,medium,20,Fri,0.56,50.5
fried_chicken,3,11.2,1.6,15,bike,rain,7.1,low,21,Fri,0.28,31.5
sushi,3,14.1,3.3,6,bike,clear,7.3,low,21,Fri,0.14,46.4
burger,3,8.4,2.2,8,bike,rain,8.1,medium,21,Fri,0.14,29.4
mexican,4,11.8,2.5,14,bike,rain,2.8,low,21,Fri,0.28,36.1
mexican,4,11.8,1.9,7,bike,clear,5.2,medium,21,Fri,0.14,33.8
indian,5,15.9,3.9,31,ebike,storm,10.8,high,22,Fri,0.28,49.9
indian,7,16.4,2.0,8,ebike,clear,4.9,low,22,Fri,0.28,45.9
noodles,5,10.5,3.5,0,ebike,storm,11.0,low,22,Fri,0.14,36.7
indian,4,15.6,1.5,3,bike,rain,4.4,medium,23,Fri,0.28,36.9
burger,4,8.6,4.8,10,ebike,clear,4.6,low,23,Fri,0.14,29.7
noodles,2,9.8,0.9,3,ebike,clear,3.6,low,0,Sat,0.14,26.9
sushi,4,14.4,6.8,4,ebike,clear,5.2,medium,0,Sat,0.14,52.5
fried_chicken,4,11.5,1.0,5,ebike,clear,6.4,low,1,Sat,0.14,28.0
pizza,3,11.7,3.1,6,bike,rain,4.8,high,1,Sat,0.14,42.7
sushi,4,14.4,1.6,1,ebike,clear,2.0,medium,2,Sat,0.14,35.6
sushi,1,13.2,2.5,5,ebike,rain,7.2,low,3,Sat,0.14,39.6
burger,3,8.4,3.6,7,bike,clear,5.8,low,3,Sat,0.14,29.3
burger,4,8.6,3.2,18,bike,clear,5.7,low,3,Sat,0.28,27.1
burger,4,8.6,1.1,3,ebike,clear,6.2,low,4,Sat,0.14,26.5
burger,3,8.4,4.7,2,ebike,rain,2.3,low,4,Sat,0.14,33.6
noodles,5,10.5,4.6,8,bike,clear,8.3,low,5,Sat,0.14,44.5
fried_chicken,4,11.5,1.9,4,ebike,clear,8.1,low,5,Sat,0.14,33.5
sushi,4,14.4,4.4,8,ebike,rain,3.9,low,5,Sat,0.28,46.7
indian,6,16.2,4.6,12,ebike,clear,6.4,low,5,Sat,0.28,49.2
noodles,4,10.3,4.3,1,bike,rain,3.5,low,6,Sat,0.42,40.7
mexican,4,11.8,1.5,6,bike,clear,6.1,medium,6,Sat,0.56,28.7
burger,2,8.1,2.7,1,ebike,clear,5.7,medium,6,Sat,0.28,30.2
fried_chicken,5,11.7,0.9,15,ebike,rain,5.5,low,6,Sat,0.14,25.0
burger,3,8.4,2.6,14,ebike,rain,7.3,medium,6,Sat,0.14,23.8
burger,3,8.4,2.5,16,ebike,clear,4.2,low,6,Sat,0.14,25.7
burger,1,7.8,1.8,9,bike,clear,7.3,medium,6,Sat,0.28,26.9
noodles,2,9.8,2.0,5,bike,rain,3.4,low,7,Sat,0.14,31.1
noodles,2,9.8,2.9,5,bike,clear,3.3,high,7,Sat,0.14,33.6
pizza,4,12.0,5.8,4,ebike,rain,5.6,low,7,Sat,0.14,37.9
mexican,4,11.8,5.4,11,ebike,clear,3.4,low,7,Sat,0.28,38.9
fried_chicken,2,10.9,7.8,7,ebike,clear,3.8,medium,8,Sat,0.14,44.9
burger,3,8.4,1.9,22,ebike,clear,5.9,medium,8,Sat,0.28,25.6
burger,4,8.6,1.3,6,ebike,clear,8.7,medium,8,Sat,0.28,24.6
mexican,2,11.3,3.1,3,ebike,clear,4.0,medium,8,Sat,0.14,30.5
sushi,2,13.7,3.9,10,ebike,rain,5.8,medium,8,Sat,0.28,39.1
indian,3,15.3,2.5,11,ebike,rain,3.2,low,8,Sat,0.28,40.5
noodles,5,10.5,5.3,1,bike,clear,10.4,medium,8,Sat,0.42,44.7
fried_chicken,4,11.5,1.6,7,ebike,rain,4.7,medium,9,Sat,0.14,30.7
burger,3,8.4,6.7,4,bike,rain,6.1,medium,9,Sat,0.28,52.3
burger,4,8.6,2.6,6,bike,clear,7.8,medium,9,Sat,0.14,32.8
burger,3,8.4,2.8,2,bike,clear,6.2,high,9,Sat,0.28,38.3
sushi,3,14.1,2.4,11,bike,clear,6.1,low,9,Sat,0.14,43.4
fried_chicken,4,11.5,3.7,0,bike,rain,5.9,low,10,Sat,0.28,45.5
pizza,5,12.2,8.4,2,bike,rain,6.3,low,10,Sat,0.28,65.3
fried_chicken,7,12.1,2.4,11,ebike,rain,8.0,low,10,Sat,0.28,34.4
indian,4,15.6,3.9,2,bike,rain,8.9,low,10,Sat,0.14,50.8
fried_chicken,5,11.7,3.0,3,bike,clear,4.4,medium,11,Sat,0.14,36.1
burger,1,7.8,1.7,6,bike,rain,8.9,medium,11,Sat,0.28,25.2
sushi,3,14.1,0.9,4,ebike,clear,7.6,medium,11,Sat,0.42,37.5
pizza,5,12.2,7.6,1,bike,rain,8.9,medium,12,Sat,0.14,63.0
burger,3,8.4,2.5,9,bike,clear,5.4,medium,12,Sat,0.28,33.5
salad,2,6.6,3.3,2,ebike,clear,8.0,medium,12,Sat,0.42,28.0
indian,5,15.9,3.0,15,ebike,rain,6.4,medium,12,Sat,0.42,44.9
indian,6,16.2,2.6,14,bike,clear,5.1,high,12,Sat,0.28,51.7
pizza,4,12.0,1.7,9,ebike,storm,11.4,medium,12,Sat,0.28,35.0
salad,2,6.6,6.0,4,ebike,rain,2.2,medium,12,Sat,0.69,34.6
burger,2,8.1,6.0,17,ebike,clear,6.3,medium,12,Sat,0.56,45.3
fried_chicken,3,11.2,5.7,8,ebike,clear,9.0,medium,12,Sat,0.69,45.2
fried_chicken,3,11.2,6.8,6,ebike,clear,6.1,medium,12,Sat,0.42,55.1
fried_chicken,3,11.2,2.6,1,ebike,clear,7.3,low,12,Sat,0.83,33.7
burger,5,8.8,2.3,1,ebike,clear,5.4,medium,12,Sat,0.83,35.8
mexican,2,11.3,1.7,6,bike,rain,7.2,medium,12,Sat,0.86,42.3
mexican,5,12.0,6.7,5,ebike,rain,7.0,high,12,Sat,0.69,55.5
fried_chicken,5,11.7,3.5,3,ebike,clear,8.1,medium,12,Sat,0.86,50.1
pizza,3,11.7,2.8,3,ebike,clear,6.9,medium,13,Sat,0.69,41.8
noodles,1,9.4,1.2,3,bike,clear,2.6,low,13,Sat,0.56,34.2
fried_chicken,5,11.7,5.6,2,ebike,clear,6.6,low,13,Sat,0.42,46.0
indian,3,15.3,3.9,8,bike,rain,6.6,medium,13,Sat,0.56,53.6
mexican,5,12.0,4.4,6,ebike,clear,8.0,low,13,Sat,0.69,42.2
sushi,4,14.4,2.7,3,bike,clear,8.1,low,13,Sat,0.42,43.0
fried_chicken,3,11.2,6.9,13,ebike,clear,4.7,low,13,Sat,0.28,47.3
fried_chicken,1,10.5,5.1,2,ebike,clear,6.1,medium,13,Sat,0.42,38.3
sushi,3,14.1,3.3,1,ebike,clear,7.2,medium,13,Sat,0.42,41.8
pizza,2,11.4,1.6,4,ebike,storm,12.7,medium,13,Sat,0.56,32.2
fried_chicken,2,10.9,1.5,15,ebike,clear,10.1,medium,13,Sat,0.56,32.7
salad,2,6.6,2.3,8,ebike,storm,13.7,medium,14,Sat,0.28,25.3
fried_chicken,2,10.9,4.1,4,ebike,rain,6.2,high,13,Sat,0.28,39.2
burger,4,8.6,4.2,5,ebike,rain,4.8,medium,14,Sat,0.28,34.3
fried_chicken,2,10.9,6.7,19,bike,clear,7.1,medium,14,Sat,0.42,49.4
pizza,3,11.7,2.3,4,ebike,clear,5.1,medium,14,Sat,0.14,34.5
